mmsi,num_names,names,sov,flag,flag_type,num_loas,loa,max_loa,num_types,type
1,8,Bil Holman Dredge/Dredge Capt Frank/Emo/Offshore King/Robert G Bradley/S.d. Gumel/Us Gov Vessel/Us Govt Ves,Y,Unknown,Unknown,7,42.0/48.0/57.0/90.0/138.0/154.0/156.0,156.0,4,Dredging/MilOps/Reserved/Towing
9,3,000000009/Raven/Shearwater,N,Unknown,Unknown,2,50.0/62.0,62.0,2,Pleasure/Tug
21,1,Us Gov Vessel,Y,Unknown,Unknown,1,208.0,208.0,1,Unknown
74,2,Mcfaul/Sarah Bell,N,Unknown,Unknown,1,155.0,155.0,1,Unknown
103,3,Ron G/Us Navy Warship 103/Us Warship 103,Y,Unknown,Unknown,2,26.0/155.0,155.0,2,Tanker/Unknown
310,1,Arabella,N,Bermuda ,Foreign,1,47.0,47.0,1,Unknown
3011,1,Charleston,N,Anguilla ,Foreign,1,160.0,160.0,1,Other
4731,1,000004731,N,Yemen (Republic of) ,Foreign,1,30.0,30.0,1,Unknown
15151,2,R L Enterkin/Us Vessel,N,Unknown,Unknown,2,60.0/175.0,175.0,1,Tug
46809,1,Island Trader,N,Syrian Arab Republic ,Foreign,1,22.0,22.0,1,Towing
80404,1,Donnamarie,N,Unknown,Unknown,1,29.0,29.0,1,Pleasure
82003,1,Alexis,N,Unknown,Unknown,1,29.0,29.0,2,Fishing/Pleasure
298716,1,Mitchel,N,Unknown,Unknown,1,35.0,35.0,1,Towing
366235,1,Cape Domingo,N,United States of America ,Domestic,1,207.0,207.0,1,Cargo
439541,2,Canadian Warship 711/L3,Y,Unknown,Unknown,2,0.0/55.0,55.0,2,MilOps/Unknown
453556,1,Us Govt Vessel,N,Unknown,Unknown,1,208.0,208.0,1,Unknown
505843,1,I.w.haile,N,Unknown,Unknown,1,20.0,20.0,1,WIG
527918,1,Salvage Master,N,Unknown,Unknown,1,20.0,20.0,1,Fishing
565026,1,Honcho,N,Singapore (Republic of),Foreign,1,32.0,32.0,1,Towing
572329,1,Alexandra,N,Tuvalu ,Foreign,1,40.0,40.0,1,BigTow
587370,1,Dorothy Moran,N,Unknown,Unknown,1,33.0,33.0,1,Tug
641114,1,Samantha Miller,N,Unknown,Unknown,1,20.0,20.0,1,Other
