Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1871	2.76	4.58	5.01	4.13	3.30	2.98	1.58	2.36	0.95	1.31	2.13	1.65
1872	2.32	2.11	3.14	5.91	3.09	5.17	6.10	1.65	4.50	1.58	2.25	2.38
1873	2.96	7.14	4.11	3.59	6.31	4.20	4.63	2.36	1.81	4.28	4.36	5.94
1874	5.22	9.23	5.36	11.84	1.49	2.87	2.65	3.52	3.12	2.63	6.12	4.19
1875	6.15	3.06	8.14	4.22	1.73	5.63	8.12	1.60	3.79	1.25	5.46	4.30
1876	6.41	2.22	5.28	3.62	3.40	5.65	7.15	5.77	2.52	2.68	1.26	0.95
1877	4.05	1.06	4.98	9.47	1.25	6.02	3.25	4.16	5.40	2.61	4.93	2.49
1878	3.34	2.10	3.48	6.88	2.33	3.28	9.43	5.02	1.28	2.17	3.20	6.04
1879	6.32	3.13	3.81	2.88	2.88	2.50	8.47	4.62	5.18	2.90	5.85	9.15
1880	3.74	12.37	8.16	5.26	4.13	3.97	5.69	2.22	5.39	7.24	5.77	3.32
1881	3.54	5.48	2.79	5.12	3.67	3.70	0.86	1.81	6.57	4.80	4.89	4.85
1882	14.51	8.61	9.38	3.59	7.38	2.54	4.06	5.54	1.61	1.11	3.60	1.52
1883	3.76	7.90	3.98	9.12	4.82	3.82	4.94	4.47	2.23	5.27	3.11	4.97
1884	7.20	8.18	8.89	3.51	3.58	6.53	3.18	2.81	2.36	2.43	1.57	3.78
1885	6.29	2.00	2.33	3.75	4.36	3.72	5.26	1.02	5.60	2.99	2.73	2.90
1886	5.18	3.82	4.76	2.36	2.10	7.69	1.90	5.50	3.68	0.51	5.76	1.48
1887	5.13	8.47	3.36	2.67	3.43	2.31	3.77	2.89	6.85	1.92	2.29	5.31
1888	6.29	3.78	6.46	4.18	2.97	4.68	2.36	7.03	3.82	2.82	4.33	1.77
1889	3.83	1.84	2.47	2.83	5.30	5.33	2.74	1.57	6.81	1.54	6.88	1.17
1890	8.10	10.95	8.64	3.84	4.16	2.23	0.46	6.59	5.86	3.01	2.01	4.12
1891	6.15	6.96	10.31	2.24	2.39	6.50	1.49	3.72	1.25	0.84	6.71	4.26
1892	2.81	2.73	4.10	7.45	4.03	5.01	5.13	3.39	4.78	0.25	3.91	6.43
1893	1.27	4.88	3.37	4.11	7.31	4.74	2.12	1.92	6.43	3.68	2.97	3.50
1894	4.28	8.65	2.69	4.05	2.53	3.55	5.45	2.43	3.07	0.53	1.92	2.81
1895	5.71	0.98	5.09	3.07	2.05	2.90	7.14	1.40	6.69	1.57	2.14	4.09
1896	1.37	3.65	6.45	2.92	4.05	1.82	7.33	1.40	2.74	0.98	5.71	1.79
1897	3.13	3.84	8.49	5.79	1.22	1.82	8.53	2.34	0.19	0.92	2.83	4.93
1898	9.46	0.63	5.36	3.16	1.80	4.97	4.50	6.56	4.87	3.21	3.09	2.41
1899	5.59	5.19	7.81	3.25	3.36	0.75	6.44	2.53	1.50	1.83	1.55	4.64
1900	2.61	3.80	2.20	4.04	1.86	10.35	2.87	1.24	4.55	3.93	8.87	2.22
1901	3.45	1.60	2.39	4.99	4.11	0.48	2.59	8.24	4.27	0.63	0.85	4.51
1902	4.68	2.20	6.96	3.08	4.36	2.77	1.89	2.69	2.82	1.83	4.04	6.58
1903	1.80	4.81	5.17	4.00	5.64	7.58	3.04	1.42	0.13	2.06	3.47	3.91
1904	3.93	1.24	5.20	2.35	2.97	6.38	4.62	2.80	0.81	0.29	1.66	5.01
1905	3.17	2.66	5.10	1.50	6.00	7.31	3.23	2.97	6.12	3.56	1.35	4.15
1906	3.26	0.79	6.49	1.75	3.80	2.62	3.61	2.94	10.95	2.28	5.88	5.11
1907	2.60	3.53	3.58	4.66	6.01	2.67	0.80	2.53	1.95	2.01	4.39	2.69
1908	3.02	4.15	4.16	4.43	2.80	2.73	3.32	1.69	1.89	0.44	3.31	2.10
1909	2.34	7.08	4.94	4.12	4.57	5.56	4.93	2.73	4.23	1.01	2.58	2.90
1910	3.45	4.87	0.85	6.10	5.81	6.61	4.45	1.73	0.74	3.20	1.17	3.92
